Ref_Date,GEO,LEVEL,SEX,STATS,Vector,Coordinate,Value
2000,Newfoundland and Labrador,Doctorate,Both sexes,75th percentile,v88834125,2.4.1.3,x
2005,Newfoundland and Labrador,Doctorate,Both sexes,75th percentile,v88834125,2.4.1.3,x
2010,Newfoundland and Labrador,Doctorate,Both sexes,75th percentile,v88834125,2.4.1.3,x
2000,Newfoundland and Labrador,Doctorate,Males,25th percentile,v88834126,2.4.2.1,x
2005,Newfoundland and Labrador,Doctorate,Males,25th percentile,v88834126,2.4.2.1,x
2010,Newfoundland and Labrador,Doctorate,Males,25th percentile,v88834126,2.4.2.1,x
2000,Newfoundland and Labrador,Doctorate,Males,Median,v88834127,2.4.2.2,x
2005,Newfoundland and Labrador,Doctorate,Males,Median,v88834127,2.4.2.2,x
2010,Newfoundland and Labrador,Doctorate,Males,Median,v88834127,2.4.2.2,x
2000,Newfoundland and Labrador,Doctorate,Males,75th percentile,v88834128,2.4.2.3,x
2005,Newfoundland and Labrador,Doctorate,Males,75th percentile,v88834128,2.4.2.3,x
2010,Newfoundland and Labrador,Doctorate,Males,75th percentile,v88834128,2.4.2.3,x
2000,Newfoundland and Labrador,Doctorate,Females,25th percentile,v88834129,2.4.3.1,x
2005,Newfoundland and Labrador,Doctorate,Females,25th percentile,v88834129,2.4.3.1,x
2010,Newfoundland and Labrador,Doctorate,Females,25th percentile,v88834129,2.4.3.1,x
2000,Newfoundland and Labrador,Doctorate,Females,Median,v88834130,2.4.3.2,x
2005,Newfoundland and Labrador,Doctorate,Females,Median,v88834130,2.4.3.2,x
2010,Newfoundland and Labrador,Doctorate,Females,Median,v88834130,2.4.3.2,x
2000,Newfoundland and Labrador,Doctorate,Females,75th percentile,v88834131,2.4.3.3,x
2005,Newfoundland and Labrador,Doctorate,Females,75th percentile,v88834131,2.4.3.3,x
2010,Newfoundland and Labrador,Doctorate,Females,75th percentile,v88834131,2.4.3.3,x
2000,Prince Edward Island,College,Both sexes,25th percentile,v88834132,3.1.1.1,20800.00
2005,Prince Edward Island,College,Both sexes,25th percentile,v88834132,3.1.1.1,25000.00
2010,Prince Edward Island,College,Both sexes,25th percentile,v88834132,3.1.1.1,30200.00
2000,Prince Edward Island,College,Both sexes,Median,v88834133,3.1.1.2,26000.00
2005,Prince Edward Island,College,Both sexes,Median,v88834133,3.1.1.2,31600.00
2010,Prince Edward Island,College,Both sexes,Median,v88834133,3.1.1.2,39300.00
2000,Prince Edward Island,College,Both sexes,75th percentile,v88834134,3.1.1.3,34300.00
2005,Prince Edward Island,College,Both sexes,75th percentile,v88834134,3.1.1.3,40900.00
2010,Prince Edward Island,College,Both sexes,75th percentile,v88834134,3.1.1.3,53600.00
2000,Prince Edward Island,College,Males,25th percentile,v88834135,3.1.2.1,23600.00
2005,Prince Edward Island,College,Males,25th percentile,v88834135,3.1.2.1,29100.00
2010,Prince Edward Island,College,Males,25th percentile,v88834135,3.1.2.1,32800.00
2000,Prince Edward Island,College,Males,Median,v88834136,3.1.2.2,31200.00
2005,Prince Edward Island,College,Males,Median,v88834136,3.1.2.2,35400.00
2010,Prince Edward Island,College,Males,Median,v88834136,3.1.2.2,40100.00
2000,Prince Edward Island,College,Males,75th percentile,v88834137,3.1.2.3,39000.00
2005,Prince Edward Island,College,Males,75th percentile,v88834137,3.1.2.3,45600.00
2010,Prince Edward Island,College,Males,75th percentile,v88834137,3.1.2.3,56000.00
2000,Prince Edward Island,College,Females,25th percentile,v88834138,3.1.3.1,18700.00
2005,Prince Edward Island,College,Females,25th percentile,v88834138,3.1.3.1,22000.00
2010,Prince Edward Island,College,Females,25th percentile,v88834138,3.1.3.1,28100.00
2000,Prince Edward Island,College,Females,Median,v88834139,3.1.3.2,22500.00
2005,Prince Edward Island,College,Females,Median,v88834139,3.1.3.2,27000.00
2010,Prince Edward Island,College,Females,Median,v88834139,3.1.3.2,36300.00
2000,Prince Edward Island,College,Females,75th percentile,v88834140,3.1.3.3,30000.00
2005,Prince Edward Island,College,Females,75th percentile,v88834140,3.1.3.3,35100.00
2010,Prince Edward Island,College,Females,75th percentile,v88834140,3.1.3.3,44200.00
2000,Prince Edward Island,Bachelor's,Both sexes,25th percentile,v88834141,3.2.1.1,25000.00
2005,Prince Edward Island,Bachelor's,Both sexes,25th percentile,v88834141,3.2.1.1,29500.00
2010,Prince Edward Island,Bachelor's,Both sexes,25th percentile,v88834141,3.2.1.1,35000.00
2000,Prince Edward Island,Bachelor's,Both sexes,Median,v88834142,3.2.1.2,32500.00
2005,Prince Edward Island,Bachelor's,Both sexes,Median,v88834142,3.2.1.2,40000.00
2010,Prince Edward Island,Bachelor's,Both sexes,Median,v88834142,3.2.1.2,50000.00
2000,Prince Edward Island,Bachelor's,Both sexes,75th percentile,v88834143,3.2.1.3,42900.00
2005,Prince Edward Island,Bachelor's,Both sexes,75th percentile,v88834143,3.2.1.3,50000.00
2010,Prince Edward Island,Bachelor's,Both sexes,75th percentile,v88834143,3.2.1.3,67600.00
2000,Prince Edward Island,Bachelor's,Males,25th percentile,v88834144,3.2.2.1,26000.00
2005,Prince Edward Island,Bachelor's,Males,25th percentile,v88834144,3.2.2.1,27300.00
2010,Prince Edward Island,Bachelor's,Males,25th percentile,v88834144,3.2.2.1,36500.00
2000,Prince Edward Island,Bachelor's,Males,Median,v88834145,3.2.2.2,33600.00
2005,Prince Edward Island,Bachelor's,Males,Median,v88834145,3.2.2.2,39000.00
2010,Prince Edward Island,Bachelor's,Males,Median,v88834145,3.2.2.2,50000.00
2000,Prince Edward Island,Bachelor's,Males,75th percentile,v88834146,3.2.2.3,47400.00
2005,Prince Edward Island,Bachelor's,Males,75th percentile,v88834146,3.2.2.3,45000.00
2010,Prince Edward Island,Bachelor's,Males,75th percentile,v88834146,3.2.2.3,72000.00
2000,Prince Edward Island,Bachelor's,Females,25th percentile,v88834147,3.2.3.1,22000.00
2005,Prince Edward Island,Bachelor's,Females,25th percentile,v88834147,3.2.3.1,30000.00
2010,Prince Edward Island,Bachelor's,Females,25th percentile,v88834147,3.2.3.1,31200.00
2000,Prince Edward Island,Bachelor's,Females,Median,v88834148,3.2.3.2,32000.00
2005,Prince Edward Island,Bachelor's,Females,Median,v88834148,3.2.3.2,40000.00
2010,Prince Edward Island,Bachelor's,Females,Median,v88834148,3.2.3.2,50000.00
2000,Prince Edward Island,Bachelor's,Females,75th percentile,v88834149,3.2.3.3,40500.00
2005,Prince Edward Island,Bachelor's,Females,75th percentile,v88834149,3.2.3.3,51700.00
2010,Prince Edward Island,Bachelor's,Females,75th percentile,v88834149,3.2.3.3,63000.00
2000,Prince Edward Island,Master's,Both sexes,25th percentile,v88834150,3.3.1.1,x
2005,Prince Edward Island,Master's,Both sexes,25th percentile,v88834150,3.3.1.1,x
2010,Prince Edward Island,Master's,Both sexes,25th percentile,v88834150,3.3.1.1,x
2000,Prince Edward Island,Master's,Both sexes,Median,v88834151,3.3.1.2,x
2005,Prince Edward Island,Master's,Both sexes,Median,v88834151,3.3.1.2,65000.00
2010,Prince Edward Island,Master's,Both sexes,Median,v88834151,3.3.1.2,78000.00
2000,Prince Edward Island,Master's,Both sexes,75th percentile,v88834152,3.3.1.3,x
2005,Prince Edward Island,Master's,Both sexes,75th percentile,v88834152,3.3.1.3,x
2010,Prince Edward Island,Master's,Both sexes,75th percentile,v88834152,3.3.1.3,x
2000,Prince Edward Island,Master's,Males,25th percentile,v88834153,3.3.2.1,..
2005,Prince Edward Island,Master's,Males,25th percentile,v88834153,3.3.2.1,x
2010,Prince Edward Island,Master's,Males,25th percentile,v88834153,3.3.2.1,x
2000,Prince Edward Island,Master's,Males,Median,v88834154,3.3.2.2,..
2005,Prince Edward Island,Master's,Males,Median,v88834154,3.3.2.2,x
2010,Prince Edward Island,Master's,Males,Median,v88834154,3.3.2.2,x
2000,Prince Edward Island,Master's,Males,75th percentile,v88834155,3.3.2.3,..
2005,Prince Edward Island,Master's,Males,75th percentile,v88834155,3.3.2.3,x
2010,Prince Edward Island,Master's,Males,75th percentile,v88834155,3.3.2.3,x
2000,Prince Edward Island,Master's,Females,25th percentile,v88834156,3.3.3.1,x
2005,Prince Edward Island,Master's,Females,25th percentile,v88834156,3.3.3.1,x
2010,Prince Edward Island,Master's,Females,25th percentile,v88834156,3.3.3.1,x
2000,Prince Edward Island,Master's,Females,Median,v88834157,3.3.3.2,x
2005,Prince Edward Island,Master's,Females,Median,v88834157,3.3.3.2,59000.00
2010,Prince Edward Island,Master's,Females,Median,v88834157,3.3.3.2,79000.00
2000,Prince Edward Island,Master's,Females,75th percentile,v88834158,3.3.3.3,x
2005,Prince Edward Island,Master's,Females,75th percentile,v88834158,3.3.3.3,x
2010,Prince Edward Island,Master's,Females,75th percentile,v88834158,3.3.3.3,x
2000,Prince Edward Island,Doctorate,Both sexes,25th percentile,v88834159,3.4.1.1,x
2005,Prince Edward Island,Doctorate,Both sexes,25th percentile,v88834159,3.4.1.1,x
2010,Prince Edward Island,Doctorate,Both sexes,25th percentile,v88834159,3.4.1.1,x
2000,Prince Edward Island,Doctorate,Both sexes,Median,v88834160,3.4.1.2,x
2005,Prince Edward Island,Doctorate,Both sexes,Median,v88834160,3.4.1.2,x
2010,Prince Edward Island,Doctorate,Both sexes,Median,v88834160,3.4.1.2,x
2000,Prince Edward Island,Doctorate,Both sexes,75th percentile,v88834161,3.4.1.3,x
2005,Prince Edward Island,Doctorate,Both sexes,75th percentile,v88834161,3.4.1.3,x
2010,Prince Edward Island,Doctorate,Both sexes,75th percentile,v88834161,3.4.1.3,x
2000,Prince Edward Island,Doctorate,Males,25th percentile,v88834162,3.4.2.1,x
2005,Prince Edward Island,Doctorate,Males,25th percentile,v88834162,3.4.2.1,x
2010,Prince Edward Island,Doctorate,Males,25th percentile,v88834162,3.4.2.1,x
2000,Prince Edward Island,Doctorate,Males,Median,v88834163,3.4.2.2,x
2005,Prince Edward Island,Doctorate,Males,Median,v88834163,3.4.2.2,x
2010,Prince Edward Island,Doctorate,Males,Median,v88834163,3.4.2.2,x
2000,Prince Edward Island,Doctorate,Males,75th percentile,v88834164,3.4.2.3,x
2005,Prince Edward Island,Doctorate,Males,75th percentile,v88834164,3.4.2.3,x
2010,Prince Edward Island,Doctorate,Males,75th percentile,v88834164,3.4.2.3,x
2000,Prince Edward Island,Doctorate,Females,25th percentile,v88834165,3.4.3.1,x
2005,Prince Edward Island,Doctorate,Females,25th percentile,v88834165,3.4.3.1,..
